Źródło,Typ,Wartości żywieniowe na 100g żywności,Energia,Białko,Tłuszcz,Woda,Węglowodany,Wapń,Fosfor,Magnez,Sód,Potas,Chlor,Żelazo,Cynk,Miedź,Mangan,Jod,Selen,Tauryna,Vitamin A,Vitamin D ,Vitamin E ,Vitamin K ,Vitamin B1,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin B7 ,Vitamin B9,Vitamin B12,Vitamin C,Kwas linolowy,Kwas arachidonowy
vuwi,mieso,Królik domowy tłuste mięso,146,19,8,72,0,14,213,25,45,330,51,"1,57","1,4","0,15","0,03","0,6",,0,"9,99",0,"0,6",0,"0,11","0,07","7,27","0,8","0,3",1,5,10,0,,109
vuwi,mieso,Królik dziki średniotłuste mięso,109,22,2,75,0,12,226,29,50,380,70,"3,2","1,4","0,5","0,04",1,,0,"9,99",0,"0,75",0,"0,03","0,06",8,"0,8","0,4",1,4,10,0,"0,37",33
dubarfst,mieso,Królik mięso,125,22,4,75,,13,213,28,58,383,51,"0,8","1,7","0,15","0,04","0,55",10,0,"33,3",0,"0,6",,"0,12","0,14","14,67","0,78","0,6",1,5,10,,"0,78",71
Średnia,mieso,Królik tuszka,137,20,6,72,,21,202,24,55,373,65,"1,8","3,05","0,11","0,03",5,17,,,8,0,,"0,03","0,18","6,65","0,7","0,52","0,9","4,5","9,4",,"0,99",70
Średnia,mieso,Kura tuszka,202,19,14,66,0,11,162,19,66,307,,"1,6","1,39","0,06","0,03","0,9",,,30,56,1,,"0,08","0,16","5,16",,"0,47",,8,"0,3",0,"2,7",10
dubarfst,mieso,Kurczak mięso bez skóry,132,20,6,74,,11,173,24,76,281,80,"0,58","0,97","0,04","0,01","0,4",10,34,"53,28",0,"0,43",,"0,1","0,16","11,7","1,06","0,39",2,21,"0,4",,"1,21",302
dubarfst,mieso,Kurczak mięso ze skórą,180,19,12,70,,11,182,22,76,281,69,"0,6","0,9","0,04","0,01","0,4",10,34,"29,97",0,"0,3",,"0,09","0,14","11,17","1,2","0,36",2,24,"0,4",,"2,43",350
vuwi,mieso,Kurczak pieczeń ze skórą,166,20,10,69,0,12,160,20,70,260,69,"0,7",1,"0,16","0,02",10,,34,"129,87","0,4","0,1",0,"0,11","0,15",6,"0,9","0,5",2,6,"0,4",0,"1,95",181
,mieso,Kurczak pierś bez skóry,105,24,1,72,,7,223,29,49,354,80,"0,4","0,57","0,08","0,02","0,5",,34,36,30,1,,"0,1","0,14","11,47","0,86","0,68",2,"11,25","0,38",,"0,19","11,5"
dubarfst,mieso,Kurczak pierś ze skórą,148,22,7,70,,11,198,25,63,220,80,"0,9","0,8",0,0,0,0,34,"79,92",0,"0,75",,"0,06","0,09","13,57",0,"0,53",0,4,"0,3",,"1,32",37
Średnia,mieso,"Kurczak skrzydełka ze skórą, bez kości",188,20,12,67,,11,153,20,69,211,78,"1,13","1,14","0,03","0,01",4,6,34,117,16,1,,"0,07","0,13","7,81","0,55","0,36",1,"7,33","0,3",,"1,85","62,5"
Średnia,mieso,Kurczak tuszka,176,19,11,69,,10,162,21,67,295,77,"0,87","1,15","0,05","0,03","6,13",12,,59,28,0,,"0,1","0,19","6,45","0,97","0,44",2,"8,33","0,35","0,83","1,86",10
Średnia,mieso,Kurczak udo bez kości bez skóry,137,18,7,74,,8,198,23,88,297,,"0,75","1,4","0,09","0,01",8,6,,73,22,2,,"0,12","0,22","4,33",,"0,36",,"10,5","0,8",,"1,49",50
Średnia,mieso,Kurczak udo bez kości ze skórą,185,18,13,68,0,10,150,20,79,280,96,"0,97","1,34","0,06","0,01","6,73","13,33",,92,36,1,31,"0,11","0,22","4,82","0,93","0,31",3,"10,76","0,69","0,02","2,18","112,62"
Średnia,mieso,Kurczak udziec ze skórą,226,16,18,67,0,8,149,19,79,247,100,"0,76","1,4","0,08","0,01",8,"12,63",,53,9,1,3,"0,11","0,19","5,04","0,73","0,32",3,"6,67","0,94",,"2,9",217
dubarfst,mieso,Owca łopatka,193,19,13,67,,13,181,17,66,218,0,"1,5","3,42","0,12","0,01","0,7","1,4",0,"149,85",0,"1,04",,"0,18","0,3","7,13","0,55","0,2",1,3,"1,2",,"0,31",0
dubarfst,mieso,Owca noga,168,20,10,69,,13,208,17,66,218,0,"1,5","3,42","0,12","0,01","0,7","1,4",0,"149,85",0,"1,04",,"0,18","0,3","7,47","0,55","0,2",1,1,"1,2",,"0,37",0
dubarfst,mieso,Owca pierś,364,15,35,50,,13,136,17,66,218,0,"1,5","3,42","0,12","0,01","0,7","1,4",0,"149,85",0,"1,04",,"0,18","0,3","6,63","0,55","0,2",1,3,"1,2",,"0,8",0
dubarfst,mieso,Owca polędwica,335,16,31,52,,13,198,17,61,230,0,"1,2","2,1","0,16","0,01","0,7","1,4",0,"149,85",0,"1,04",,"0,09","0,16","6,5","0,55","0,15",1,1,1,,"0,71",0
vuwi,mieso,Przepiórka mięso ze skórą,175,22,10,67,0,15,180,31,46,280,60,"3,97","2,7","0,51","0,02","0,4",,0,"243,09",0,"1,04",0,"0,14","0,18","9,95","0,66","0,67",2,7,"0,5",0,,
vuwi,mieso,Sarnina,122,22,4,73,0,25,220,20,84,342,40,3,3,"0,15","0,02","0,6",,0,0,0,"1,13",0,"0,1","0,25",0,"0,8","0,6","0,1",4,1,0,"0,13",17
vuwi,mieso,Struś chude mięso,119,22,3,75,0,6,214,22,81,312,,"3,13","3,76","0,14","0,02",,"35,4",0,0,,"0,3",,"0,2","0,29","4,69","1,16","0,51",,,"4,94",0,,
dubarfst,mieso,Struś tłuste mięso,165,20,9,71,,7,199,20,72,291,0,"2,91","3,51","0,13","0,02",0,33,0,0,0,"0,36",,"0,18","0,27","4,38","1,08","0,48",0,7,"4,61",,"0,78",70
Średnia,mieso,Wieprzowina boczek bez kosci,510,10,53,37,0,4,95,10,78,163,,"0,7","1,45","0,05","0,01","1,8",,,0,28,1,,"0,4","0,16","3,1",,"0,17",,3,"0,6",0,"3,04",300
dubarfst,mieso,Wieprzowina chuda,129,20,5,74,,7,160,24,76,360,69,"0,83","3,6","0,1","0,01",1,"5,8",50,0,"3,2","0,15",,"0,62","0,23","7,37","0,6","0,35","2,6",2,"0,7",,"0,54",25
Średnia,mieso,Wieprzowina golonka ze skórą,294,19,25,56,0,19,145,17,73,213,,"1,1","2,31","0,05","0,01","1,8",,,0,28,0,,"0,44","0,18","5,74",,"0,24",,3,"0,7",0,"1,41",140
Średnia,mieso,Wieprzowina karkówka,267,16,23,60,0,18,166,17,63,283,,"1,3","3,11","0,08","0,05","1,8",,,0,28,1,,"0,58","0,24","3,68",,"0,26",,3,"0,7",0,"1,3",130
dubarfst,mieso,"Wieprzowina kotlety, steki",175,21,10,69,,7,115,21,83,332,69,"0,71","3,6","0,1","0,01","1,1","6,9",50,0,"4,4","0,15",,"0,75","0,15","10,1","0,79","0,31","0,79",2,"0,7",,"1,06",24
Średnia,mieso,Wieprzowina łopatka,221,18,17,65,,6,174,20,64,300,69,"0,97","3,37","0,07","0,02",1,"5,8",50,,16,0,,"0,67","0,21","6,47","0,78","0,3","0,78","2,5","0,7",,"1,23",116
Średnia,mieso,Wieprzowina podgardle,406,14,40,46,,7,120,13,60,208,66,"0,85","1,55","0,1","0,02","1,4","6,9",50,,16,0,,"0,42","0,12","6,04","0,78","0,15","0,78","3,5","0,7",,"2,52",221
Judy's,mieso,Wieprzowina polędwiczka,107,22,2,75,,2,170,25,74,350,69,"1,09",2,"0,05","0,08",1,0,50,"19,98",0,"0,61",18,"0,9","0,23",5,"0,7","0,5",5,3,2,0,"0,15",25
Średnia,mieso,Wieprzowina schab,174,21,10,68,0,15,208,24,42,343,,1,"1,93","0,06","0,04","1,5",,,0,24,0,,"0,99","0,19","7,24",,"0,52",,3,"0,7",0,"0,57",60
Średnia,mieso,Wieprzowina szynka,239,18,19,63,,6,177,18,61,245,71,"0,74","2,74","0,06","0,01","0,95","6,9",50,,17,0,,"0,58","0,2","5,74","0,6","0,33","2,6","2,5","0,7",,"1,44","95,5"
Średnia,mieso,Wieprzowina żeberka,321,15,29,55,0,28,157,17,63,252,,"1,3","2,86","0,06","0,05","1,8",,,0,28,0,,"0,65","0,24","4,4",,"0,28",,3,"0,6",0,"1,68",160
Średnia,mieso,Wolowina pieczeń,117,21,4,75,0,3,204,25,78,375,,"2,3","3,76","0,08","0,04","0,8",,,37,16,0,,"0,08","0,22","5,44",,"0,42",,10,"1,4",0,"0,09",0
dubarfst,mieso,Wołowa górna łopatka,159,22,8,54,,3,155,22,54,344,106,"1,93","3,9","0,08","0,02","1,2","6,5",36,"46,62",0,"0,68",,"0,09","0,16","4,71","0,31","0,18",2,3,4,,"0,18",39
dubarfst,mieso,Wołowa karkówka,164,21,9,69,,5,170,22,69,325,55,"2,2","5,8","0,07","0,01","0,9","6,5",36,"23,31",0,"0,45",,"0,03","0,19","9,73","0,8","0,48",0,6,"1,4",,"0,17",85
Judy's,mieso,Wołowina,121,21,4,74,,3,160,22,42,340,55,"2,3","4,41","0,08","0,02","0,1",0,36,"66,6",0,"0,72",13,"0,1","0,13","4,6",1,"0,19",0,10,2,0,"0,12",37
jedzdobrze,mieso,Wołowina antrykot,147,21,7,71,,6,167,22,78,316,52,"2,2","3,5","0,08","0,04","0,3","29,2",36,"36,63",24,"0,27",,"0,11","0,18","4,79","0,01","0,28",2,8,"1,4",,"0,22",
vuwi,mieso,Wołowina chude mięso,129,20,5,74,0,4,210,19,50,300,55,"2,34","5,29","0,07","0,02","0,1",,36,"9,99",0,"0,72",13,"0,09","0,19","5,1","0,6","0,19",3,1,5,0,"0,16",49
dubarfst,mieso,Wołowina gulasz,129,20,5,69,,4,210,19,50,300,55,"2,34","5,29","0,07","0,02","0,9","6,5",36,"9,99",0,"0,72",,"0,09","0,19","5,1","0,6","0,19",3,3,5,,"0,16",49
vuwi,mieso,Wołowina karczek chudy,149,19,8,72,0,4,200,17,45,300,55,"2,08","5,56","0,06","0,02","0,1",,36,"9,99",0,"0,72",13,"0,09","0,19","5,2","0,6","0,19",3,1,5,0,"0,24",74
vuwi,mieso,Wołowina karczek średniotłusty,160,19,9,71,0,4,197,17,45,295,55,"2,05","5,47","0,06","0,02","0,1",,36,"9,99",0,"0,7",13,"0,09","0,19","5,12","0,59","0,19",2,1,4,0,"0,25",73
jedzdobrze,mieso,Wołowina łata,410,14,39,46,,15,113,13,127,120,50,"2,7","1,03","0,07","0,01","0,3","18,1",36,"16,65",32,"0,4",,"0,06","0,13","3,08","0,32","0,05",2,7,"1,4",,"1,29",
vuwi,mieso,Wołowina mielona,202,20,14,65,0,6,168,19,60,310,50,"1,92","3,73","0,09","0,02","0,3",,36,"56,61",0,"0,59",11,"0,2","0,23","6,47","0,5","0,16",3,0,4,0,,
dubarfst,mieso,Wołowina mielona chuda,168,21,10,70,,7,175,19,64,304,0,"2,3","3,9","0,07","0,01",0,0,36,"33,3",0,0,,"0,05","0,17",4,"0,33","0,26","1,3",10,"2,1",,0,0
Judy's,mieso,Wołowina mostek tłusty,262,17,22,60,,4,173,16,45,242,51,"1,94","4,22","0,08","0,02","0,5",0,36,"6,66",0,"0,54",10,"0,08","0,16","4,18","0,45","0,14",2,2,4,0,"0,39",37
dubarfst,mieso,Wołowina pierś chuda,209,18,15,65,,4,170,20,65,245,53,"1,98","3,5","0,05","0,01","1,3","6,5",36,"133,2",0,"0,72",,"0,05","0,15","8,13","0,44","0,28",0,10,"1,6",,"0,31",44
dubarfst,mieso,Wołowina pierś tłusta,323,16,29,54,,4,170,17,65,254,51,"1,6","3,9","0,05","0,01","1,2","6,5",36,"119,88",0,"1,31",,"0,03","0,16","7,9","0,49","0,38",0,4,"1,4",,"0,55",37
Średnia,mieso,Wołowina polędwica,128,21,5,73,,5,205,26,47,387,55,"2,5","3,81","0,05","0,02","3,14","9,2",,17,8,0,3,"0,08","0,18","5,42","0,9","0,33",,"6,63","1,76",,"0,15",
Średnia,mieso,Wołowina pręga,126,21,5,74,0,10,174,21,63,288,69,"2,25","4,65","0,08","0,01","7,6","10,38",,12,19,0,,"0,06","0,16","5,02","0,76","0,49","0,5","8,65","1,67",,"0,15","43,45"
Średnia,mieso,Wołowina rostbef,155,22,8,70,,6,184,22,59,338,46,"2,04","3,64","0,06","0,01","5,52","8,02",,30,17,0,1,"0,07","0,19","5,88","0,79","0,45","0,67","9,18","1,52",,"0,16","107,1"
Średnia,mieso,Wołowina rozbratel,179,19,12,69,,9,169,21,56,311,,"2,4","3,45","0,07","0,01","1,07","6,83",,37,19,1,0,"0,05","0,19","4,9","0,76","0,34",1,7,"1,55",,"0,27",125
Średnia,mieso,Wołowina szponder,260,18,21,60,,14,166,18,71,265,,"1,9","3,89","0,05","0,01","1,1","6,06",,63,24,1,,"0,05","0,15","4,09","0,48","0,26",,"4,33","1,74",,"0,4","225,5"
vuwi,mieso,Wołowina średniotłuste mięso,155,20,9,71,0,7,203,18,49,288,54,"2,26","5,08","0,07","0,02","0,2",,36,"9,99",0,"0,68",12,"0,09","0,18","4,92","0,57","0,18",2,1,4,0,"0,2",47
vuwi,mieso,Wołowina tłuste mięso,187,19,13,68,0,4,194,18,48,274,53,"2,17","4,82","0,08","0,02","0,3",,36,"9,99",0,"0,64",12,"0,09","0,18","4,7","0,53","0,17",2,1,4,0,"0,26",44
dubarfst,mieso,Wołowina udziec,140,21,6,72,,5,170,22,75,310,52,"2,2","5,3","0,1","0,01","0,8","6,5",36,"9,99",0,"0,33",,"0,04","0,18","9,83","0,87","0,5",0,7,"1,4",,"0,11",56
dubarfst,mieso,Zając mięso,124,22,4,73,,9,210,26,77,318,40,"0,8","1,7","0,24","0,04","0,55",10,0,0,0,"0,15",,"0,09","0,06","12,1","0,8","0,3","0,1",10,1,,"0,79",43
dubarfst,podroby,Cielęcina grasica,100,17,3,79,,4,558,16,433,433,120,"1,91","1,9","0,2","0,1",0,"16,1",0,"16,65",0,"0,3",,"0,08","0,17","2,58",1,"0,03",3,15,6,,"0,06",5
dubarfst,podroby,Cielęcina móżdżek,117,10,8,80,,10,350,14,127,315,150,"2,13","1,11","0,22","0,04",0,10,0,0,0,"2,53",,"0,13","0,26","3,6","2,5","0,16",6,13,5,,"0,02",288
vuwi,podroby,Cielęcina nerki,112,16,5,77,1,11,241,16,178,272,250,"11,5","1,8","0,49","0,08",4,,0,"699,3",20,"0,3",0,"0,37","2,5","6,47",4,"0,5",40,66,28,"12,7",,
vuwi,podroby,Cielęcina ozór,180,17,12,68,2,9,190,17,86,210,15,"2,83","2,63","0,16","0,03",2,,0,"9,99",0,"0,15",0,"0,15","0,29","3,7",2,"0,13",3,4,4,"2,7",,
dubarfst,podroby,Cielęcina płuca,86,16,2,81,,7,220,15,154,274,80,5,"1,16","0,3","0,1",0,"17,2",0,"99,9",0,"0,75",,"0,11","0,36",4,1,"0,07",5,11,3,,"0,11",157
